15/10/21 11:26:17 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/plugins/catalog/ManageCatalogs.jsp?view=manageCatalogs
15/10/21 11:35:11 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/plugins/catalog/ManageCatalogs.jsp
15/10/21 11:35:30 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/plugins/catalog/ManageCatalogs.jsp
15/10/21 11:35:30 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/plugins/catalog/ManageCatalogs.jsp?view=manageCatalogs
16/10/21 20:12:41 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
16/10/21 21:42:37 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/role/ManagePageRole.jsp?plugin_name=
16/10/21 21:43:15 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
16/10/21 21:43:19 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/site/AdminSite.jsp?page_id=2&param_block=5
16/10/21 21:45:01 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/site/AdminSite.jsp?page_id=2&param_block=5
16/10/21 22:15:04 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
16/10/21 22:15:10 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/system/ManagePlugins.jsp?plugin_name=
16/10/21 22:15:14 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/system/ViewPluginDescription.jsp?plugin_name=catalog
16/10/21 22:15:20 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
16/10/21 22:15:27 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminTechnicalMenu.jsp
16/10/21 22:15:47 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/user/attribute/CreateAttribute.jsp
16/10/21 22:16:50 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminTechnicalMenu.jsp?
16/10/21 22:26:38 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
16/10/21 22:26:43 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
16/10/21 22:26:47 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
16/10/21 22:26:49 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/DoChangeLanguage.jsp
16/10/21 22:26:49 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
16/10/21 22:26:53 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/DoChangeLanguage.jsp
16/10/21 22:26:53 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
16/10/21 22:26:55 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/DoChangeLanguage.jsp
16/10/21 22:26:55 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
19/10/21 22:55:13 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
19/10/21 22:55:24 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp?page=project
19/10/21 22:55:33 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp?page=catalog
19/10/21 23:16:23 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMessage.jsp
19/10/21 23:16:25 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/user/ModifyDefaultUserPassword.jsp
19/10/21 23:16:44 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMessage.jsp
19/10/21 23:16:57 USER id:1, name: admin Admin, ip: 0:0:0:0:0:0:0:1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
19/10/21 23:17:22 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
19/10/21 23:17:27 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/DoChangeLanguage.jsp
19/10/21 23:17:27 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
19/10/21 23:17:41 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/features/ManageRights.jsp?plugin_name=
19/10/21 23:17:44 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/user/ManageUsers.jsp?plugin_name=
19/10/21 23:17:46 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/user/ModifyUser.jsp?id_user=1
19/10/21 23:17:47 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/user/ModifyUserRights.jsp?id_user=1
19/10/21 23:17:55 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/user/ManageUserRights.jsp?id_user=1
19/10/21 23:18:05 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/DoChangeLanguage.jsp
19/10/21 23:18:05 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/AdminMenu.jsp
19/10/21 23:18:11 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/system/ManagePlugins.jsp?plugin_name=
19/10/21 23:18:21 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/plugins/catalog/ManageCatalogs.jsp?plugin_name=catalog
19/10/21 23:18:23 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/plugins/catalog/ManageCatalogs.jsp
19/10/21 23:18:37 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/plugins/catalog/ManageCatalogs.jsp
19/10/21 23:18:37 USER id:1, name: admin Admin, ip: 127.0.0.1, url: http://localhost:8080/catalog/jsp/admin/plugins/catalog/ManageCatalogs.jsp?view=manageCatalogs
